id_lokasi,nama_lokasi,tipe_lokasi
L000,Gudang Pusat Jakarta,Gudang
L001,Gudang Transit Bekasi,Gudang
L002,Gudang Regional Bandung,Gudang
L003,Gudang Surabaya,Gudang
L004,Gudang Semarang,Gudang
L005,Gudang Medan,Gudang
L006,Gudang Makassar,Gudang
L007,Gudang Palembang,Gudang
L008,Gudang Denpasar,Gudang
L009,Gudang Yogyakarta,Gudang
L010,Gudang Balikpapan,Gudang
L011,Gudang Manado,Gudang
L012,Gudang Pontianak,Gudang
L013,Gudang Samarinda,Gudang
L014,Gudang Jember,Gudang
L015,Gudang Malang,Gudang
L016,Gudang Solo,Gudang
L017,Gudang Cirebon,Gudang
L018,Gudang Purwokerto,Gudang
L019,Gudang Tangerang,Gudang
L020,Gudang Depok,Gudang
L021,Gudang Bogor,Gudang
L022,Gudang Karawang,Gudang
L023,Gudang Cikampek,Gudang
L024,Gudang Cilegon,Gudang
L025,Gudang Serang,Gudang
L026,Gudang Sukabumi,Gudang
L027,Gudang Garut,Gudang
L028,Gudang Tasikmalaya,Gudang
L029,Gudang Ciamis,Gudang
L030,Depo Tebingtinggi,Tujuan
L031,Cabang Jakarta Timur Cipayung,Tujuan
L032,Cabang Subang,Tujuan
L033,Pos Distribusi Mojokerto,Tujuan
L034,Agency Pekalongan,Tujuan
L035,Depo Malang Batu,Tujuan
L036,Agency Medan Marelan,Tujuan
L037,Cabang Medan Belawan,Tujuan
L038,Cabang Jakarta Barat Kembangan,Tujuan
L039,Cabang Demak,Tujuan
L040,Depo Bekasi Summarecon,Tujuan
L041,Cabang Blora,Tujuan
L042,Terminal Bojonegoro,Tujuan
L043,Terminal Balikpapan Penajam,Tujuan
L044,Pos Distribusi Bogor Tajur,Tujuan
L045,Pos Distribusi Lamongan,Tujuan
L046,Pos Distribusi Gianyar Ubud,Tujuan
L047,Cabang Bandung Kiaracondong,Tujuan
L048,Agency Bekasi Tambun,Tujuan
L049,Depo Makassar Tamalanrea,Tujuan
L050,Agency Cimahi Baros,Tujuan
L051,Agency Kuningan,Tujuan
L052,Pos Distribusi Makassar Panakkukang,Tujuan
L053,Terminal Solo Kartasura,Tujuan
L054,Cabang Tangerang Karawaci,Tujuan
L055,Depo Sragen,Tujuan
L056,Cabang Jakarta Utara Penjernihan,Tujuan
L057,Terminal Deli Serdang,Tujuan
L058,Cabang Malang Kepanjen,Tujuan
L059,Depo Tasik Mitra,Tujuan
L060,Agency Kendal,Tujuan
L061,Cabang Jakarta Utara Pademangan,Tujuan
L062,Cabang Bandung Buahbatu,Tujuan
L063,Cabang Bandung Antapani,Tujuan
L064,Depo Gowa Sungguminasa,Tujuan
L065,Depo Pekanbaru Dumai,Tujuan
L066,Depo Jember,Tujuan
L067,Agency Minahasa Tomohon,Tujuan
L068,Cabang Jakarta Selatan Kebayoran,Tujuan
L069,Terminal Tabanan,Tujuan
L070,Terminal Jakarta Selatan Tebet,Tujuan
L071,Depo Sukabumi Pelabuhan Ratu,Tujuan
L072,Terminal Jakarta Barat Tambora,Tujuan
L073,Cabang Banyuwangi,Tujuan
L074,Agency Samarinda Tenggarong,Tujuan
L075,Agency Tarakan Tanah Kuning,Tujuan
L076,Depo Semarang Mriden,Tujuan
L077,Cabang Salatiga,Tujuan
L078,Depo Manado Mapanget,Tujuan
L079,Cabang Mataram Lombok,Tujuan
L080,Cabang Bengkalis,Tujuan
L081,Cabang Pematangsiantar,Tujuan
L082,Depo Nganjub,Tujuan
L083,Cabang Serdang Bedagai,Tujuan
L084,Cabang Langsa,Tujuan
L085,Cabang Medan Tembung,Tujuan
L086,Terminal Denpasar Kuta,Tujuan
L087,Cabang Batang,Tujuan
L088,Pos Distribusi Pati,Tujuan
L089,Cabang Brebes,Tujuan
L090,Depo Sidoarjo,Tujuan
L091,Pos Distribusi Denpasar Jimbaran,Tujuan
