id_rute,id_asal,id_tujuan,jarak_km
R001,L026,L030,277.5
R002,L017,L031,231.2
R003,L001,L032,214.0
R004,L014,L033,155.2
R005,L013,L034,33.2
R006,L026,L035,184.8
R007,L007,L036,86.9
R008,L001,L037,128.7
R009,L011,L038,242.1
R010,L002,L039,125.7
R011,L003,L040,218.3
R012,L007,L041,62.7
R013,L023,L042,166.7
R014,L011,L043,241.8
R015,L019,L044,179.0
R016,L005,L045,174.4
R017,L025,L046,61.8
R018,L006,L047,226.5
R019,L018,L048,101.5
R020,L008,L049,169.1
R021,L005,L050,94.0
R022,L022,L051,85.5
R023,L018,L052,78.5
R024,L027,L053,146.5
R025,L028,L054,191.8
R026,L003,L055,42.3
R027,L024,L056,221.1
R028,L029,L057,21.3
R029,L008,L058,243.4
R030,L004,L059,197.9
R031,L004,L060,73.7
R032,L022,L061,93.6
R033,L007,L062,214.4
R034,L021,L063,113.0
R035,L004,L064,163.8
R036,L008,L065,177.6
R037,L012,L066,129.3
R038,L020,L067,223.5
R039,L024,L068,30.6
R040,L016,L069,211.2
R041,L022,L070,262.5
R042,L011,L071,130.0
R043,L015,L072,95.0
R044,L000,L073,243.9
R045,L027,L074,206.5
R046,L023,L075,272.3
R047,L020,L076,187.6
R048,L011,L077,238.8
R049,L025,L078,152.0
R050,L006,L079,271.2
R051,L026,L080,63.3
R052,L008,L081,93.8
R053,L009,L082,97.9
R054,L018,L083,40.9
R055,L027,L084,138.5
R056,L010,L085,250.9
R057,L024,L086,18.3
R058,L003,L087,177.2
R059,L026,L088,131.4
R060,L003,L089,260.6
R061,L005,L090,126.4
R062,L000,L091,277.8
R063,L013,L092,60.6
R064,L022,L093,255.1
R065,L028,L094,183.7
R066,L005,L095,245.5
R067,L028,L096,80.4
R068,L020,L097,104.1
R069,L002,L098,107.3
R070,L028,L099,183.5
R071,L001,L100,114.0
R072,L009,L101,204.6
R073,L024,L102,69.4
R074,L020,L103,30.1
R075,L003,L104,5.3
R076,L015,L105,26.4
R077,L018,L106,67.2
R078,L021,L107,127.4
R079,L000,L108,196.3
R080,L026,L109,38.2
R081,L027,L110,121.1
R082,L004,L111,136.4
R083,L007,L112,110.3
R084,L023,L113,226.6
R085,L003,L114,91.2
R086,L028,L115,87.3
R087,L012,L116,217.7
R088,L024,L117,245.5
R089,L020,L118,278.1
R090,L004,L119,23.8
R091,L018,L120,7.3
R092,L020,L121,50.1
R093,L011,L122,203.7
R094,L020,L123,210.8
R095,L029,L124,118.2
R096,L021,L125,126.7
R097,L006,L126,28.8
R098,L003,L127,43.5
R099,L003,L128,167.1
R100,L012,L129,101.7
R101,L013,L130,91.5
R102,L004,L131,73.1
R103,L020,L132,28.2
R104,L017,L133,170.3
R105,L023,L134,172.1
R106,L024,L135,263.9
R107,L000,L136,238.2
R108,L021,L137,245.9
R109,L006,L138,147.4
R110,L016,L139,56.9
R111,L012,L140,86.3
R112,L001,L141,220.5
R113,L025,L142,267.5
R114,L015,L143,111.1
R115,L007,L144,142.4
R116,L019,L145,24.5
R117,L028,L146,273.9
R118,L011,L147,261.8
R119,L004,L148,111.4
R120,L026,L149,161.3
R121,L011,L150,155.2
R122,L005,L151,214.7
R123,L024,L152,25.1
R124,L018,L153,23.6
R125,L008,L154,64.3
R126,L029,L155,21.6
R127,L025,L156,114.4
R128,L009,L157,177.9
R129,L016,L158,216.0
R130,L013,L159,198.0
R131,L002,L160,181.1
R132,L017,L161,174.4
R133,L008,L162,28.0
R134,L002,L163,145.6
R135,L006,L164,272.9
R136,L004,L165,152.5
R137,L012,L166,166.3
R138,L024,L167,234.5
R139,L021,L168,181.9
R140,L009,L169,197.1
R141,L023,L170,267.2
R142,L007,L171,20.9
R143,L002,L172,259.3
R144,L003,L173,129.7
R145,L019,L174,20.1
R146,L021,L175,209.0
R147,L023,L176,53.3
R148,L000,L177,199.7
R149,L022,L178,8.1
R150,L015,L179,267.1
R151,L016,L180,147.2
R152,L026,L181,203.2
R153,L005,L182,107.3
R154,L023,L183,219.8
R155,L008,L184,206.6
R156,L003,L185,217.1
R157,L000,L186,97.1
R158,L013,L187,79.8
R159,L002,L188,77.3
R160,L018,L189,177.6
R161,L015,L190,130.2
R162,L011,L191,20.2
R163,L027,L192,160.9
R164,L011,L193,48.3
R165,L024,L194,33.3
R166,L018,L195,190.4
R167,L003,L196,67.8
R168,L016,L197,5.7
R169,L027,L198,242.3
R170,L007,L199,17.6
R171,L093,L099,258.1
R172,L045,L009,157.0
R173,L182,L190,185.3
R174,L057,L083,73.3
R175,L184,L081,79.6
R176,L019,L147,107.5
R177,L128,L173,253.0
R178,L045,L058,226.2
R179,L011,L103,24.0
R180,L119,L072,217.7
R181,L079,L084,28.8
R182,L116,L002,106.5
R183,L074,L145,220.7
R184,L189,L159,71.7
R185,L094,L152,272.3
R186,L197,L199,58.7
R187,L139,L195,223.9
R188,L038,L001,261.4
R189,L006,L060,153.9
R190,L162,L178,246.2
R191,L085,L000,213.7
R192,L096,L189,205.0
R193,L026,L053,150.7
R194,L060,L108,140.3
R195,L015,L037,200.7
R196,L023,L011,258.4
R197,L133,L105,197.7
R198,L095,L118,273.0
R199,L021,L149,31.3
R200,L034,L164,230.5
R201,L019,L152,161.2
R202,L111,L170,270.2
R203,L060,L075,76.8
R204,L080,L101,197.7
R205,L188,L083,92.5
R206,L069,L059,25.5
R207,L051,L034,219.5
R208,L149,L027,47.7
R209,L042,L116,133.2
R210,L104,L030,152.4
R211,L197,L053,129.3
R212,L118,L067,239.4
R213,L023,L041,227.1
R214,L077,L181,196.6
R215,L010,L056,234.9
R216,L083,L037,30.1
R217,L063,L092,114.0
R218,L012,L174,87.2
R219,L044,L007,266.8
R220,L115,L143,210.7
R221,L063,L024,132.1
R222,L035,L031,8.3
R223,L199,L056,40.9
R224,L102,L095,193.7
R225,L165,L021,165.1
R226,L066,L019,11.0
R227,L016,L051,253.2
R228,L113,L032,30.3
R229,L084,L031,16.7
R230,L118,L012,51.2
R231,L146,L110,231.0
R232,L101,L128,13.1
R233,L174,L109,52.5
R234,L054,L047,80.6
R235,L114,L038,14.5
R236,L158,L157,72.6
R237,L075,L128,118.3
R238,L140,L122,21.8
R239,L071,L099,42.7
R240,L051,L165,248.3
R241,L134,L063,178.5
R242,L139,L004,277.1
R243,L182,L091,136.9
R244,L124,L088,256.0
R245,L128,L082,111.8
R246,L046,L006,92.7
R247,L056,L007,251.3
R248,L199,L071,21.1
R249,L120,L136,103.3
R250,L149,L059,272.8
R251,L025,L064,185.6
R252,L068,L137,229.5
R253,L188,L014,215.1
R254,L056,L148,237.8
R255,L099,L090,262.2
R256,L044,L046,70.1
R257,L081,L189,196.8
R258,L151,L007,198.4
R259,L090,L146,160.0
R260,L144,L048,235.1
R261,L126,L139,90.0
R262,L125,L009,29.8
R263,L059,L155,65.2
R264,L134,L122,5.2
R265,L157,L051,226.8
R266,L087,L184,53.8
R267,L082,L015,11.0
R268,L150,L181,257.2
R269,L198,L028,237.8
R270,L093,L018,107.7
R271,L169,L101,166.2
R272,L086,L077,93.7
R273,L040,L188,265.9
R274,L163,L124,183.5
R275,L044,L182,271.4
R276,L177,L157,221.4
R277,L057,L171,167.0
R278,L044,L097,89.4
R279,L176,L075,40.0
R280,L186,L000,265.9
R281,L146,L100,239.0
R282,L197,L145,13.9
R283,L154,L081,258.3
R284,L156,L056,180.9
R285,L026,L128,43.7
R286,L190,L019,70.4
R287,L081,L042,180.0
R288,L022,L182,189.3
R289,L186,L085,127.8
R290,L067,L053,73.6
R291,L017,L090,75.6
R292,L027,L185,5.4
R293,L098,L113,206.5
R294,L042,L106,140.6
R295,L096,L089,155.2
R296,L025,L123,221.9
R297,L147,L167,213.5
R298,L057,L041,129.1
R299,L008,L076,10.5
R300,L066,L026,25.4
R301,L043,L097,49.2
R302,L019,L141,264.0
R303,L023,L087,168.4
R304,L157,L123,198.7
R305,L110,L168,50.4
R306,L111,L040,19.7
R307,L084,L052,273.0
R308,L104,L179,157.4
R309,L186,L138,77.9
R310,L072,L077,70.3
R311,L012,L101,162.2
R312,L125,L039,20.0
R313,L000,L110,29.1
R314,L169,L160,170.1
R315,L051,L024,12.1
R316,L043,L164,85.2
R317,L020,L122,237.0
R318,L078,L102,134.5
R319,L169,L067,30.1
R320,L139,L099,55.8
R321,L097,L094,56.3
R322,L011,L068,125.9
R323,L067,L057,235.2
R324,L144,L015,46.6
R325,L178,L170,31.6
R326,L171,L088,227.2
R327,L105,L194,167.2
R328,L141,L015,236.2
R329,L133,L107,270.5
R330,L175,L121,162.5
R331,L060,L122,87.2
R332,L101,L183,14.6
R333,L146,L132,225.1
R334,L173,L158,45.5
R335,L193,L114,52.5
R336,L042,L055,227.3
R337,L032,L010,121.4
R338,L174,L111,60.5
R339,L160,L037,234.4
R340,L066,L082,255.5
R341,L017,L023,111.7
R342,L101,L142,94.7
R343,L070,L134,131.0
R344,L003,L180,176.3
R345,L028,L107,46.2
R346,L145,L151,165.2
R347,L025,L028,159.7
R348,L025,L074,243.6
R349,L088,L106,77.6
R350,L167,L124,162.3
R351,L121,L009,52.4
R352,L103,L036,175.0
R353,L174,L178,115.5
R354,L101,L084,194.9
R355,L012,L191,135.7
R356,L068,L096,10.6
R357,L077,L080,82.1
R358,L125,L179,193.3
R359,L058,L034,87.6
R360,L190,L113,217.9
R361,L082,L068,205.4
R362,L154,L166,29.6
R363,L113,L054,256.2
R364,L104,L190,138.2
R365,L132,L095,230.8
R366,L131,L040,23.0
R367,L181,L129,115.9
R368,L199,L134,246.8
R369,L007,L045,58.0
R370,L051,L014,73.6
R371,L116,L012,257.5
R372,L180,L050,80.3
R373,L118,L130,114.2
R374,L031,L175,13.4
R375,L095,L126,168.4
R376,L045,L122,166.4
R377,L089,L088,50.0
R378,L066,L192,233.5
R379,L023,L073,12.5
R380,L012,L042,239.8
R381,L199,L054,240.7
R382,L165,L057,191.4
R383,L068,L167,117.6
R384,L005,L197,192.6
R385,L121,L033,183.0
R386,L153,L002,66.5
R387,L155,L078,201.0
R388,L181,L164,80.7
R389,L117,L064,65.0
R390,L077,L174,148.2
R391,L159,L101,165.7
R392,L001,L131,279.8
R393,L095,L144,183.0
R394,L155,L072,87.1
R395,L027,L124,22.6
R396,L070,L164,94.4
R397,L070,L066,185.4
R398,L166,L076,56.8
R399,L132,L196,71.1
R400,L014,L154,116.1
R401,L081,L175,43.5
R402,L006,L168,141.8
R403,L075,L066,254.4
R404,L103,L099,207.6
R405,L149,L182,278.6
R406,L048,L088,204.8
R407,L056,L176,152.0
R408,L121,L172,103.6
R409,L076,L043,236.2
