id_rute,id_asal,id_tujuan,jarak_km
R001,L000,L004,192.1
R002,L000,L005,192.5
R003,L002,L006,216.4
R004,L002,L007,35.7
R005,L003,L008,48.5
R006,L000,L009,267.3
R007,L002,L010,272.3
R008,L001,L011,144.6
R009,L000,L012,244.4
R010,L002,L013,236.5
R011,L001,L014,47.0
R012,L001,L015,153.3
R013,L000,L016,169.7
R014,L003,L017,10.4
R015,L002,L018,246.6
R016,L002,L019,70.8
R017,L007,L019,265.4
R018,L002,L016,229.4
R019,L017,L004,40.3
R020,L015,L018,50.4
R021,L016,L013,270.2
R022,L017,L006,201.1
R023,L012,L011,125.5
R024,L016,L014,38.3
R025,L007,L002,98.0
R026,L018,L017,68.3
R027,L007,L000,24.5
R028,L001,L008,23.5
R029,L002,L017,70.5
R030,L015,L006,153.3
R031,L018,L019,135.0
R032,L015,L013,57.4
R033,L003,L014,102.4
R034,L013,L015,242.6
R035,L001,L004,21.7
R036,L010,L003,73.4
R037,L006,L018,128.4
R038,L013,L005,81.6
R039,L014,L018,31.9
R040,L017,L000,271.5
