id_rute,id_asal,id_tujuan,jarak_km
R001,L004,L016,193.9
R002,L015,L017,23.5
R003,L002,L018,30.6
R004,L003,L019,209.8
R005,L011,L020,228.2
R006,L001,L021,166.3
R007,L010,L022,189.3
R008,L013,L023,102.2
R009,L013,L024,243.7
R010,L001,L025,271.3
R011,L009,L026,101.7
R012,L006,L027,47.6
R013,L015,L028,66.7
R014,L003,L029,101.3
R015,L011,L030,36.6
R016,L008,L031,162.9
R017,L013,L032,237.4
R018,L000,L033,172.5
R019,L008,L034,13.0
R020,L008,L035,198.2
R021,L009,L036,258.4
R022,L011,L037,6.7
R023,L004,L038,160.7
R024,L012,L039,24.1
R025,L000,L040,30.2
R026,L006,L041,108.5
R027,L014,L042,98.7
R028,L011,L043,90.7
R029,L010,L044,218.6
R030,L002,L045,247.9
R031,L004,L046,48.3
R032,L001,L047,190.3
R033,L008,L048,126.9
R034,L013,L049,138.6
R035,L014,L050,118.9
R036,L006,L051,212.6
R037,L003,L052,99.9
R038,L003,L053,82.9
R039,L015,L054,149.9
R040,L009,L055,17.5
R041,L012,L056,275.7
R042,L001,L057,7.1
R043,L009,L058,265.0
R044,L004,L059,215.1
R045,L009,L060,95.2
R046,L000,L061,141.8
R047,L013,L062,53.3
R048,L012,L063,151.5
R049,L007,L064,142.6
R050,L011,L065,24.8
R051,L001,L066,125.0
R052,L014,L067,258.3
R053,L010,L068,163.3
R054,L012,L069,200.1
R055,L013,L070,84.6
R056,L012,L071,10.7
R057,L010,L072,52.3
R058,L014,L073,233.8
R059,L011,L074,29.2
R060,L003,L075,71.9
R061,L012,L076,149.1
R062,L012,L077,244.4
R063,L010,L078,65.9
R064,L005,L079,26.0
R065,L003,L080,150.9
R066,L006,L081,254.1
R067,L011,L082,101.6
R068,L004,L083,70.0
R069,L004,L084,75.4
R070,L005,L085,170.7
R071,L002,L086,53.7
R072,L015,L087,132.6
R073,L014,L088,192.3
R074,L010,L089,242.7
R075,L010,L090,46.5
R076,L002,L091,134.0
R077,L009,L092,224.0
R078,L001,L093,101.8
R079,L002,L094,90.4
R080,L014,L095,15.3
R081,L011,L096,233.7
R082,L002,L097,182.3
R083,L002,L098,174.1
R084,L012,L099,132.2
R085,L070,L095,251.4
R086,L057,L074,184.3
R087,L041,L078,135.8
R088,L019,L007,128.9
R089,L043,L092,28.2
R090,L082,L022,15.8
R091,L090,L056,277.5
R092,L067,L066,172.7
R093,L046,L048,257.4
R094,L049,L053,218.0
R095,L086,L076,19.4
R096,L080,L083,97.0
R097,L042,L012,158.4
R098,L049,L036,74.3
R099,L084,L077,245.2
R100,L042,L010,165.3
R101,L018,L045,90.3
R102,L083,L090,187.1
R103,L016,L077,199.9
R104,L010,L040,158.7
R105,L082,L042,228.6
R106,L085,L090,233.0
R107,L094,L087,255.9
R108,L011,L083,189.4
R109,L065,L046,10.0
R110,L039,L023,266.6
R111,L043,L099,138.7
R112,L028,L017,47.6
R113,L037,L012,144.6
R114,L069,L095,248.0
R115,L004,L085,97.6
R116,L098,L079,41.0
R117,L048,L019,49.6
R118,L088,L099,176.8
R119,L021,L093,125.4
R120,L052,L046,191.0
