id_rute,id_asal,id_tujuan,jarak_km
R001,L003,L008,59.9
R002,L007,L009,101.2
R003,L003,L010,66.3
R004,L003,L011,114.6
R005,L004,L012,242.7
R006,L004,L013,101.6
R007,L006,L014,191.9
R008,L005,L015,263.3
R009,L001,L016,246.2
R010,L004,L017,54.1
R011,L004,L018,15.5
R012,L006,L019,100.1
R013,L005,L020,125.0
R014,L001,L021,110.9
R015,L003,L022,75.0
R016,L006,L023,5.5
R017,L003,L024,105.2
R018,L001,L025,265.9
R019,L005,L026,176.4
R020,L001,L027,202.9
R021,L004,L028,144.5
R022,L006,L029,94.7
R023,L004,L030,157.5
R024,L003,L031,120.6
R025,L006,L032,191.3
R026,L002,L033,174.3
R027,L004,L034,116.7
R028,L000,L035,88.6
R029,L003,L036,123.2
R030,L005,L037,132.9
R031,L007,L038,190.8
R032,L007,L039,223.3
R033,L002,L040,186.2
R034,L004,L041,146.7
R035,L005,L042,30.7
R036,L003,L043,190.0
R037,L003,L044,226.8
R038,L002,L045,11.7
R039,L003,L046,275.6
R040,L001,L047,130.2
R041,L003,L048,202.5
R042,L006,L049,141.0
R043,L015,L009,185.4
R044,L000,L049,241.6
R045,L006,L028,65.2
R046,L044,L033,132.8
R047,L035,L015,257.3
R048,L007,L030,41.7
R049,L029,L043,151.1
R050,L035,L039,92.3
R051,L048,L028,173.5
R052,L046,L032,122.4
R053,L035,L028,251.7
R054,L047,L030,128.8
R055,L048,L015,236.0
R056,L017,L034,138.3
R057,L015,L018,126.0
R058,L045,L018,69.5
R059,L021,L020,250.6
R060,L005,L009,46.5
R061,L024,L045,47.0
R062,L013,L004,119.1
R063,L021,L035,133.1
R064,L003,L014,234.0
R065,L024,L038,265.2
R066,L001,L049,163.3
R067,L030,L000,264.3
R068,L019,L049,112.2
R069,L026,L035,210.6
R070,L034,L039,251.9
R071,L031,L014,80.1
R072,L031,L001,111.9
R073,L042,L044,224.5
R074,L046,L010,236.1
R075,L008,L040,151.9
R076,L025,L038,160.2
R077,L001,L006,181.8
R078,L008,L030,55.0
R079,L016,L025,95.0
R080,L029,L020,97.8
R081,L024,L017,211.8
R082,L026,L016,234.6
R083,L030,L001,211.0
R084,L003,L023,66.7
R085,L004,L042,16.1
R086,L012,L001,175.9
R087,L015,L008,135.2
R088,L007,L037,265.6
R089,L029,L045,75.5
R090,L023,L010,171.6
R091,L047,L045,36.5
R092,L010,L020,34.7
R093,L001,L020,163.3
R094,L024,L026,263.9
R095,L012,L004,167.8
R096,L040,L015,33.0
R097,L049,L019,238.8
R098,L038,L007,224.0
R099,L036,L002,100.5
R100,L027,L043,106.9
R101,L032,L042,98.8
R102,L026,L032,34.0
R103,L023,L041,250.2
R104,L029,L046,47.1
R105,L011,L047,148.5
R106,L041,L017,174.4
R107,L034,L030,132.8
R108,L046,L037,78.8
R109,L015,L005,81.7
R110,L028,L015,211.4
R111,L036,L040,188.8
R112,L021,L001,140.9
R113,L020,L011,139.1
R114,L022,L016,98.6
R115,L038,L045,247.0
R116,L035,L000,147.1
R117,L012,L005,71.4
R118,L035,L049,71.1
R119,L030,L042,200.8
R120,L028,L001,30.6
R121,L014,L026,195.2
R122,L019,L043,164.9
R123,L030,L036,151.0
R124,L027,L048,156.4
R125,L022,L045,129.8
R126,L019,L016,68.4
R127,L046,L012,91.8
R128,L047,L034,266.5
R129,L044,L011,57.7
R130,L017,L047,167.1
R131,L048,L033,169.1
R132,L006,L013,86.5
R133,L023,L011,88.1
R134,L045,L034,39.8
R135,L002,L004,157.2
R136,L044,L008,180.4
R137,L048,L031,33.2
R138,L000,L037,83.2
R139,L030,L028,98.7
R140,L003,L017,263.8
R141,L030,L007,231.1
R142,L025,L032,25.4
R143,L040,L044,19.7
R144,L009,L037,266.0
R145,L005,L016,37.6
R146,L048,L026,171.7
R147,L039,L014,218.3
R148,L024,L029,254.8
R149,L019,L038,277.3
R150,L019,L037,175.8
R151,L039,L048,32.3
R152,L048,L013,177.0
R153,L016,L043,27.3
R154,L015,L011,156.8
R155,L010,L000,117.3
R156,L044,L038,134.2
R157,L002,L015,84.2
R158,L018,L045,241.4
R159,L004,L044,69.2
R160,L016,L041,167.2
R161,L012,L028,36.6
R162,L014,L042,46.0
R163,L017,L009,24.6
R164,L038,L048,231.7
R165,L018,L029,39.2
R166,L044,L019,197.4
R167,L017,L033,153.5
R168,L028,L005,169.5
R169,L020,L039,73.9
R170,L043,L036,166.5
R171,L043,L017,163.5
R172,L048,L049,53.2
R173,L033,L042,126.6
R174,L017,L011,279.2
R175,L027,L041,228.9
R176,L005,L031,100.7
R177,L042,L006,240.9
R178,L021,L027,195.8
R179,L018,L043,264.9
R180,L048,L035,15.1
R181,L005,L021,74.4
R182,L007,L026,242.9
R183,L000,L043,244.1
R184,L029,L026,19.9
R185,L033,L023,176.2
R186,L031,L041,126.6
R187,L017,L036,41.0
R188,L044,L031,38.4
R189,L040,L038,224.8
R190,L045,L010,90.5
R191,L000,L036,117.2
R192,L014,L007,131.9
R193,L007,L042,233.8
R194,L031,L046,85.3
R195,L045,L017,119.3
R196,L030,L031,72.0
R197,L035,L009,110.5
R198,L038,L032,210.2
R199,L008,L004,81.0
R200,L026,L021,261.9
R201,L032,L017,230.7
R202,L018,L047,87.1
R203,L037,L038,279.7
R204,L031,L009,127.8
R205,L030,L022,96.4
R206,L048,L034,108.7
R207,L020,L012,274.7
R208,L015,L037,110.3
R209,L049,L026,17.0
R210,L045,L024,111.2
R211,L042,L041,274.7
R212,L031,L002,39.7
R213,L037,L021,244.2
R214,L028,L006,149.6
R215,L029,L000,203.7
R216,L026,L042,271.7
R217,L004,L031,219.9
R218,L016,L022,176.4
R219,L025,L042,27.1
R220,L021,L044,241.3
R221,L024,L020,177.4
R222,L034,L002,174.8
R223,L015,L041,193.2
R224,L018,L014,210.4
R225,L027,L006,214.1
R226,L045,L006,127.0
R227,L001,L003,94.2
R228,L003,L019,103.6
R229,L027,L009,72.2
R230,L026,L037,192.5
R231,L011,L010,53.1
R232,L039,L024,175.4
R233,L015,L032,256.0
R234,L009,L015,131.8
R235,L016,L030,75.2
R236,L000,L030,252.8
R237,L043,L034,48.4
R238,L028,L022,276.6
R239,L019,L041,269.6
R240,L044,L016,130.6
R241,L019,L012,279.8
R242,L030,L006,70.2
R243,L036,L022,163.1
R244,L044,L018,11.0
R245,L042,L025,80.5
R246,L036,L044,219.0
R247,L003,L039,209.9
R248,L038,L022,65.2
R249,L012,L040,73.9
R250,L048,L046,216.1
