id_rute,id_asal,id_tujuan,jarak_km
R001,L001,L004,15
R002,L001,L005,18
R003,L001,L006,22
R004,L001,L007,12
R005,L001,L008,30
R006,L001,L009,45
R007,L001,L010,50
R008,L001,L011,28
R009,L001,L012,35
R010,L002,L013,20
R011,L002,L014,25
R012,L002,L015,40
R013,L002,L016,15
R014,L002,L017,32
R015,L003,L009,20
R016,L003,L010,25
R017,L003,L011,35
R018,L003,L012,42
R019,L003,L018,55
R020,L004,L005,10
R021,L004,L006,14
R022,L004,L008,18
R023,L005,L007,16
R024,L006,L007,11
R025,L008,L009,18
R026,L009,L010,8
R027,L011,L012,12
R028,L011,L013,22
R029,L013,L014,10
R030,L014,L015,18
R031,L015,L016,14
R032,L016,L017,8
R033,L017,L018,15
R034,L018,L019,7
R035,L019,L020,12
R036,L007,L013,30
R037,L010,L017,38
R038,L012,L019,25
R039,L014,L020,22
R040,L008,L018,28
